Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Gene Names,Uniplot,Function,Disease,Idication
3c4f_v,7,2.346,0.3352,-0.76868,4,2,1,0,0,0,Basic fibroblast growth factor receptor 1,TRANSFERASE,CMA1 CYH CYM,FGFR1_HUMAN,Receptor for basic fibroblast growth factor. A shorter form of the receptor could be a receptor for FGF1 (aFGF).,"Defects in FGFR1 are a cause of Pfeiffer syndrome (PS) [MIM:101600]; also known as acrocephalosyndactyly type V (ACS5). PS is characterized by craniosynostosis (premature fusion of the skull sutures) with deviation and enlargement of the thumbs and great toes, brachymesophalangy, with phalangeal ankylosis and a varying degree of soft tissue syndactyly.;Defects in FGFR1 are a cause of isolated hypogonadotropic hypogonadism (IHH) [MIM:146110]. Hypogonadism is a condition characterized by abnormally decreased gonadal function, with retardation of growth and sexual development. Hypogonadotropic hypogonadism is due to inadequate secretion of gonadotropins. It results from failure to release sufficient gonadotropin-releasing hormone.;Defects in FGFR1 are the cause of Kallmann syndrome type 2 (KAL2) [MIM:147950]; also known as hypogonadotropic hypogonadism and anosmia. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin- releasing hormone-synthesizing neurons. In some cases, midline cranial anomalies (cleft lip/palate and imperfect fusion) are present and anosmia may be absent or inconspicuous.;Defects in FGFR1 are the cause of osteoglophonic dysplasia (OGD) [MIM:166250]; also known as osteoglophonic dwarfism. OGD is characterized by craniosynostosis, prominent supraorbital ridge, and depressed nasal bridge, as well as by rhizomelic dwarfism and nonossifying bone lesions. Inheritance is autosomal dominant.;Defects in FGFR1 are the cause of non-syndromic trigonocephaly [MIM:190440]; also known as metopic craniosynostosis. The term trigonocephaly describes the typical keel-shaped deformation of the forehead resulting from premature fusion of the frontal suture. Trigonocephaly may occur also as a part of a syndrome.;A chromosomal aberration involving FGFR1 may be a cause of stem cell leukemia lymphoma syndrome (SCLL). Translocation t(8;13)(p11;q12) with ZMYM2. SCLL usually presents as lymphoblastic lymphoma in association with a myeloproliferative disorder, often accompanied by pronounced peripheral eosinophilia and/or prominent eosinophilic infiltrates in the affected bone marrow.;A chromosomal aberration involving FGFR1 may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(6;8)(q27;p11) with FGFR1OP. Insertion ins(12;8)(p11;p11p22) with FGFR1OP2. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, FGFR1OP-FGFR1 or FGFR1-FGFR1OP may exhibit constitutive kinase activity and be responsible for the transforming activity.;A chromosomal aberration involving FGFR1 may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(8;9)(p12;q33) with CEP110. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion protein CEP110-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity.",NONE
1xts_v,7,2.333,0.3333,-0.57614,0,3,3,0,1,0,GTP-binding protein Rheb,NONE,NT5M DNT2,Q62639,Involved in GTP binding,NONE,NONE
1ore_v,7,2.328,0.3326,-1.00235,0,4,3,0,0,0,Adenine phosphoribosyltransferase,NONE,ACADM,P07741,Nucleotide transport and metabolism,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1pj2_v,10,3.322,0.3322,2.4594,1,2,4,0,2,1,"NAD-dependent malic enzyme, mitochondrial",OXIDOREDUCTASE,WARS1 IFI53 WARS WRS,MAOM_HUMAN,NONE,NONE,NONE
1q1q_v,8,2.653,0.3316,-0.00472,0,5,1,0,2,0,Sulfotransferase family cytosolic 2B member 1,NONE,GCK,O00204,Involved in sulfotransferase activity,NONE,NONE
1pmq_v,9,2.955,0.3283,0.704085,0,5,1,0,3,0,Mitogen-activated protein kinase 10,TRANSFERASE,GRB2 ASH,MK10_HUMAN,"Responds to activation by environmental stress and pro- inflammatory cytokines by phosphorylating a number of transcription factors, primarily components of AP-1 such as c-Jun and ATF2 and thus regulates AP-1 transcriptional activity. Required for stress-",A chromosomal rearrangement involving MAPK10 is a cause of epileptic encephalopathy Lennox-Gastaut type [MIM:606369]. Translocation t(Y;4)(q11.2;q21) which causes MAPK10 truncation. Epileptic encephalopathies of the Lennox-Gastaut group are childhood epileptic disorders characterized by severe psychomotor delay and seizures.,Central nervous system disease;Inflammation;Pulmonary fibrosis;Ischemia;Cerebrovascular ischemia;Neurodegenerative disease
1itu_v,8,2.62,0.3275,-0.72941,4,2,1,0,1,0,Dipeptidase 1,HYDROLASE,HADH HAD HAD1 HADHSC SCHAD,DPEP1_HUMAN,Hydrolyzes a wide range of dipeptides. Implicated in the renal metabolism of glutathione and its conjugates. Converts leukotriene D4 to leukotriene E4; it may play an important role in the regulation of leukotriene activity.,NONE,NONE
1h7u_v,9,2.945,0.3272,1.09924,0,3,1,2,3,0,PMS1 protein homolog 2,NONE,GMPR2,P54278,Involved in ATP binding,NONE,NONE
1t32_v,7,2.286,0.3265,-1.43496,3,3,0,0,1,0,Cathepsin G,HYDROLASE,RAB5A RAB5,CATG_HUMAN,Serine protease with trypsin- and chymotrypsin-like specificity.,NONE,Connective tissue disease;Viral infection;Inflammation;HIV infection
1t31_v,8,2.606,0.3258,-0.48695,3,4,0,0,1,0,Chymase,HYDROLASE,NMNAT3 FKSG76,CMA1_HUMAN,"Major secreted protease of mast cells with suspected roles in vasoactive peptide generation, extracellular matrix degradation, and regulation of gland secretion.",NONE,Asthma;Atopic dermatitis;Atherosclerosis;Thrombosis;Bacterial infection;Fungal infection;Inflammation;Congestive heart failure;Chronic obstructive pulmonary disease;Viral infection;HIV infection;Cardiovascular disease
1q91_v,9,2.927,0.3252,-0.00384,1,6,1,0,1,0,"5(3)-deoxyribonucleotidase, mitochondrial",NONE,ATIC PURH OK/SW-cl.86,Q9NPB1,Involved in nucleotidase activity,NONE,NONE
1egc_v,7,2.274,0.3248,-0.88481,3,2,2,0,0,0,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ELECTRON TRANSFER,PKLR PK1 PKL,ACADM_HUMAN,This enzyme is specific for acyl chain lengths of 4 to 16.,"Defects in ACADM are the cause of medium-chain acyl-CoA dehydrogenase deficiency (MCAD deficiency) [MIM:201450]. It is an autosomal recessive disease which causes fasting hypoglycemia, hepatic dysfunction, and encephalopathy, often resulting in death in infancy. The disease frequency is one in 13000.",NONE
1r6u_v,9,2.923,0.3247,0.466661,1,4,2,1,1,0,"Tryptophanyl-tRNA synthetase, cytoplasmic",NONE,GMPR GMPR1,P23381,"Translation, ribosomal structure and biogenesis",NONE,"Tryptophan may be useful in increasing serotonin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain tolerance, and managing weight."
1r5h_v,7,2.261,0.3231,-1.3882,4,0,2,1,0,0,Methionine aminopeptidase 2,HYDROLASE,HSP90AA1 HSP90A HSPC1 HSPCA,AMPM2_HUMAN,Removes the amino-terminal methionine from nascent proteins.,NONE,NONE
1v4s_v,8,2.575,0.3219,-0.46143,3,3,2,0,0,0,Glucokinase,TRANSFERASE,CASP3 CPP32,HXK4_HUMAN,"Catalyzes the initial step in utilization of glucose by the beta-cell and liver at physiological glucose concentration. Glucokinase has a high Km for glucose, and so it is effective only when glucose is abundant. The role of GCK is to provide G6P for the","Defects in GCK are the cause of maturity onset diabetes of the young type 2 (MODY2) [MIM:125851]; also shortened MODY-2. MODY [MIM:606391] is a form of diabetes mellitus characterized by autosomal dominant transmission and early age of onset. Mutations in GCK result in mild chronic hyperglycemia due to reduced pancreatic beta cell responsiveness to glucose, decreased net accumulation of hepatic glycogen and increased hepatic gluconeogenesis following meals.;Defects in GCK are the cause of familial hyperinsulinemic hypoglycemia type 3 (HHF3) [MIM:602485]. HHF is the most common cause of persistent hypoglycemia in infancy. Unless early and aggressive intervention is undertaken, brain damage from recurrent episodes of hypoglycemia may occur.",Diabetes mellitus;Non-insulin dependent diabetes
1x0n_v,9,2.89,0.3211,0.121819,5,1,2,0,1,0,Growth factor receptor-bound protein 2,PEPTIDE BINDING PROTEIN,NME2 NM23B,GRB2_HUMAN,Adapter protein that provides a critical link between cell surface growth factor receptors and the Ras signaling pathway.;Isoform GRB3-3 does not bind to phosphorylated epidermal growth factor receptor (EGFR) but inhibits EGF-induced transactivation of a RAS-responsive element. Isoform GRB3-3 acts as a dominant negative protein over GRB2 and by suppressing proliferative sign,NONE,Leukemia;Breast tumor;Cancer
1f12_v,10,3.205,0.3205,2.03867,1,7,1,0,1,0,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",NONE,CASP1 IL1BC IL1BCE,Q16836,Lipid transport and metabolism,NONE,"Some evidence suggests that NADH might be useful in treating Parkinsons disease, chronic fatigue syndrome, Alzheimers disease and cardiovascular disease."
2c6q_v,10,3.2,0.32,0.931324,0,7,3,0,0,0,GMP reductase 2,NONE,KAT2B PCAF,Q9P2T1,"Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides (PubMed:12009299, PubMed:12669231, PubMed:16359702, PubMed:22037469). Plays a role in modulating cellular differentiation (PubMed:12669231).",NONE,NONE
1tu4_v,10,3.178,0.3178,0.684457,0,8,2,0,0,0,Ras-related protein Rab-5A,PROTEIN TRANSPORT,THRB ERBA2 NR1A2 THR1,RAB5A_HUMAN,Required for the fusion of plasma membranes and early endosomes.,NONE,NONE
1nus_v,9,2.84,0.3155,0.036262,0,6,1,1,1,0,Nicotinamide mononucleotide adenylyltransferase 3,NONE,PIK3R1 GRB1,Q96T66,Coenzyme transport and metabolism,NONE,NONE
1p4r_v,9,2.837,0.3152,-0.02501,0,7,1,0,1,0,Bifunctional purine biosynthesis protein PURH,"TRANSFERASE, HYDROLASE",RAC1 TC25 MIG5,PUR9_HUMAN,NONE,"Defects in ATIC are the cause of AICA-ribosuria [MIM:608688]; also known as AICA-ribosiduria. AICA-ribosuria is a neurologically devastating inborn error of purine biosynthesis. AICA-ribosuria patients excrete massive amounts of AICA-riboside in the urine and accumulate AICA-ribotide and its derivatives in erythrocytes and fibroblasts. AICA-ribosuria causes profound mental retardation, epilepsy, dysmorphic features and congenital blindness.",NONE
1liw_v,8,2.521,0.3152,-0.64363,0,5,1,0,2,0,Pyruvate kinase isozymes R/L,TRANSFERASE,MAP2K1 MEK1 PRKMK1,KPYR_HUMAN,NONE,Defects in PKLR are the cause of pyruvate kinase hyperactivity [MIM:102900]; also known as high red cell ATP syndrome. This autosomal dominant phenotype is characterized by increase of red blood cell ATP.;Defects in PKLR are a cause of chronic nonspherocytic hemolytic anemia (CNSHA) [MIM:266200]; also called hereditary nonspherocytic hemolytic anemia (HNSHA).,NONE
2ble_v,10,3.147,0.3147,0.560969,0,7,3,0,0,0,GMP reductase 1,OXIDOREDUCTASE,LTA4H LTA4,GMPR1_HUMAN,"Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides.",NONE,NONE
1uy6_v,9,2.828,0.3142,-0.00407,3,4,1,0,0,1,Heat shock protein HSP 90-alpha,CHAPERONE,RAB9A RAB9,HS90A_HUMAN,Molecular chaperone. Has ATPase activity (By similarity).,NONE,NONE
1rhu_v,9,2.821,0.3134,0.857278,2,3,2,0,2,0,Caspase-3,HYDROLASE,ERI1 3'EXO THEX1,CASP3_HUMAN,Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a 216-Asp-,-Gly-217 bond. Cleaves and activates sterol regulatory element bind,NONE
1nue_v,10,3.132,0.3132,0.582128,0,4,4,0,2,0,Nucleoside diphosphate kinase B,PHOSPHOTRANSFERASE,TRDMT1 DNMT2,NDKB_HUMAN,Major role in the synthesis of nucleoside triphosphates other than ATP. Negatively regulates Rho activity by interacting with AKAP13/LBC.;Acts as a transcriptional activator of the c-Myc gene; binds DNA nonspecifically (Ref.3).,This protein is found in reduced amount in tumor cells of high metastatic potential.,NONE
1ice_v,10,3.115,0.3115,0.579783,4,3,1,1,1,0,Caspase-1,CYTOKINE,Pfkfb1,CASP1_HUMAN,"Thiol protease that cleaves IL-1 beta between an Asp and an Ala, releasing the mature cytokine which is involved in a variety of inflammatory processes. Important for defense against pathogens. Cleaves and activates sterol regulatory element binding prote",NONE,Psoriasis;Septic shock;Alzheimers disease;Rheumatoid arthritis;Sepsis;Neurological disease;Osteoarthritis;Inflammation;Diabetes mellitus;Metastasis;Cardiovascular disease
1cm0_v,9,2.797,0.3108,0.297819,1,6,2,0,0,0,Histone acetyltransferase PCAF,NONE,HRAS HRAS1,Q92831,Involved in N-acetyltransferase activity,NONE,NONE
1nq1_v,7,2.168,0.3096,-1.71252,4,1,1,0,1,0,Thyroid hormone receptor beta,NONE,HNMT,P10828,"Nuclear hormone receptor that can act as a repressor or activator of transcription. High affinity receptor for thyroid hormones, including triiodothyronine and thyroxine.",NONE,NONE
1h9o_v,8,2.394,0.2993,-0.38719,3,2,2,0,1,0,Phosphatidylinositol 3-kinase regulatory subunit alpha,COMPLEX (PHOSPHOTRANSFERASE/RECEPTOR),ABL1 ABL JTK7,P85A_HUMAN,"Binds to activated (phosphorylated) protein-Tyr kinases, through its SH2 domain, and acts as an adapter, mediating the association of the p110 catalytic unit to the plasma membrane. Necessary for the insulin-stimulated increase in glucose uptake and glyco",Defects in PIK3R1 are a cause of severe insulin resistance.,NONE
1ryf_v,11,3.286,0.2987,0.868927,0,7,2,0,2,0,Ras-related C3 botulinum toxin substrate 1,HYDROLASE,DCPS DCS1 HINT5 HSPC015,RAC1_HUMAN,"Plasma membrane-associated small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate cellular responses such as secretory processes, phagocytosis of apoptotic;Isoform B has an accelerated GEF-independent GDP/GTP exchange and an impaired GTP hydrolysis, which is restored partially by GTPase-activating proteins. It is able to bind to the GTPase-binding domain of PAK but not full-length PAK in a GTP- dependent man",NONE,NONE
1s9j_v,9,2.677,0.2975,-0.63314,7,2,0,0,0,0,Dual specificity mitogen-activated protein kinase kinase 1,TRANSFERASE,AKT1 PKB RAC,MP2K1_HUMAN,Catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in a Thr-Glu-Tyr sequence located in MAP kinases. Activates ERK1 and ERK2 MAP kinases.,"Defects in MAP2K1 are a cause of cardiofaciocutaneous syndrome (CFC syndrome) [MIM:115150]; also known as cardio-facio- cutaneous syndrome. CFC syndrome is characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices. The inheritance of CFC syndrome is autosomal dominant.",Colon tumor;Melanoma;Cancer;Rheumatoid arthritis;Non-small-cell lung cancer;Neurodegenerative disease;Breast tumor;Colorectal tumor;Transplant rejection;Inflammation;Pancreas tumor;Solid tumor
1gw6_v,9,2.669,0.2966,-0.36693,3,3,1,2,0,0,Leukotriene A-4 hydrolase,HYDROLASE,TAP1 ABCB2 PSF1 RING4 Y3,LKHA4_HUMAN,Hydrolyzes an epoxide moiety of leukotriene A4 (LTA-4) to form leukotriene B4 (LTB-4). The enzyme also has some peptidase activity.,NONE,Inflammation;Cancer;Acute myelogenous leukemia;Myocardial infarction;Non-small-cell lung cancer;Solid tumor
1wms_v,9,2.663,0.2959,-0.17524,0,6,2,0,1,0,Ras-related protein Rab-9,NONE,GLO1,P51151,Involved in GTP binding,NONE,NONE
1w0h_v,10,2.949,0.2949,-0.13761,0,7,2,0,1,0,3 histone mRNA exonuclease 1,NONE,EIF4E EIF4EL1 EIF4F,Q8IV48,Involved in exonuclease activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1g55_v,10,2.935,0.2935,0.43162,1,6,2,1,0,0,tRNA (cytosine-5-)-methyltransferase,NONE,DOT1L KIAA1814 KMT4,O14717,Specifically methylates cytosine 38 in the anticodon loop of tRNA(Asp).,NONE,NONE
1k6m_v,11,3.226,0.2933,0.417978,0,7,1,0,3,0,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",NONE,Arl5b Arl8,P07953,Carbohydrate transport and metabolism,NONE,NONE
3c4c_v,8,2.336,0.2919,-1.15174,5,2,1,0,0,0,B-Raf proto-oncogene serine/threonine-protein kinase,TRANSFERASE,APAF1 KIAA0413,BRAF1_HUMAN,Involved in the transduction of mitogenic signals from the cell membrane to the nucleus. May play a role in the postsynaptic responses of hippocampal neuron.,"Defects in BRAF are a cause of cardiofaciocutaneous syndrome (CFC syndrome) [MIM:115150]; also known as cardio-facio- cutaneous syndrome. CFC syndrome is characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices. The inheritance of CFC syndrome is autosomal dominant.;Defects in BRAF are involved in a wide range of cancers.;Defects in BRAF are involved in lung cancer [MIM:211980].;Defects in BRAF are involved in non-Hodgkin lymphoma (NHL) [MIM:605027]. NHL is a cancer that starts in cells of the lymph system, which is part of the bodys immune system. NHLs can occur at any age and are often marked by enlarged lymph nodes, fever and weight loss.;Defects in BRAF may be a cause of colorectal cancer (CRC) [MIM:114500].",Melanoma;Cancer
1wq1_v,11,3.195,0.2905,0.735862,0,6,3,0,2,0,GTPase HRas,COMPLEX (GTP-BINDING/GTPASE ACTIVATION),BCL2L1 BCL2L BCLX,RASH_HUMAN,Ras proteins bind GDP/GTP and possess intrinsic GTPase activity.,"Defects in HRAS are the cause of Costello syndrome [MIM:218040]; also known as faciocutaneoskeletal syndrome. Costello syndrome is a rare condition characterized by prenatally increased growth, postnatal growth deficiency, mental retardation, distinctive facial appearance, cardiovascular abnormalities (typically pulmonic stenosis, hypertrophic cardiomyopathy and/or atrial tachycardia), tumor predisposition, skin and musculoskeletal abnormalities.;Defects in HRAS are the cause of congenital myopathy with excess of muscle spindles (CMEMS) [MIM:218040]. CMEMS is a variant of Costello syndrome.;Defects in HRAS may be a cause of susceptibility to Hurthle cell thyroid carcinoma [MIM:607464]; also known as Hurthle cell thyroid neoplasia. Hurthle cell thyroid carcinoma accounts for approximately 3% of all thyroid cancers. Although they are classified as variants of follicular neoplasms, they are more often multifocal and somewhat more aggressive and are less likely to take up iodine than are other follicular neoplasms.;Mutations which change positions 12, 13 or 61 activate the potential of c-ras to transform cultured cells and are implicated in a variety of human tumors.;Defects in HRAS are a cause of bladder cancer [MIM:109800].;Defects in HRAS are the cause of oral squamous cell carcinoma (OSCC).",NONE
1jqd_v,10,2.903,0.2903,0.135648,2,4,4,0,0,0,Histamine N-methyltransferase,NONE,SULT1A1 STP STP1 OK/SW-cl.88,P50135,Inactivates histamine by N-methylation. Plays an important role in degrading histamine and in regulating the airway response to histamine,NONE,For treatment of acute malarial attacks in non-immune subjects.
2gqg_v,8,2.317,0.2896,-0.99573,5,1,2,0,0,0,Proto-oncogene tyrosine-protein kinase ABL1,NONE,NR1I2 PXR,P00519,Involved in protein kinase activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1xmm_v,11,3.184,0.2895,0.925168,1,5,3,1,1,0,Scavenger mRNA-decapping enzyme DcpS,NONE,FECH,Q96C86,Involved in mRNA degradation,NONE,NONE
1unq_v,12,3.464,0.2886,1.25142,0,8,1,0,3,0,RAC-alpha serine/threonine-protein kinase,TRANSFERASE,BTK AGMX1 ATK BPK,AKT1_HUMAN,"General protein kinase capable of phosphorylating several known proteins. Phosphorylates TBC1D4. Signals downstream of phosphatidylinositol 3-kinase (PI(3)K) to mediate the effects of various growth factors such as platelet-derived growth factor (PDGF), e",NONE,Cancer
1jj7_v,11,3.173,0.2884,0.216933,0,8,1,0,2,0,Antigen peptide transporter 1,NONE,ESR2 ESTRB NR3A2,Q03518,Involved in nucleotide binding,NONE,NONE
1fro_v,9,2.592,0.2881,-0.42666,3,3,1,1,1,0,Lactoylglutathione lyase,LACTOYLGLUTATHIONE LYASE,DAPK1 DAPK,LGUL_HUMAN,"Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione.",NONE,Cancer
1ipb_v,10,2.874,0.2874,-0.08128,1,5,2,0,2,0,Eukaryotic translation initiation factor 4E,NONE,HGF HPTA,P06730,Involved in RNA binding,NONE,NONE
1nw3_v,10,2.863,0.2863,0.312001,0,5,3,2,0,0,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",NONE,GLTP,Q8TEK3,"Cell cycle control, cell division, chromosome partitioning",NONE,NONE
1yzg_v,11,3.138,0.2853,0.467443,0,7,3,0,1,0,ADP-ribosylation factor-like protein 5B,NONE,RAF1 RAF,Q9D4P0,Involved in GTP binding,NONE,NONE
1z6t_v,11,3.103,0.2821,0.170322,0,10,0,0,1,0,Apoptotic protease-activating factor 1,APOPTOSIS,GSTO1 GSTTLP28,APAF_HUMAN,"Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase-9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. This activation requires ATP. Isoform 6 is less effective in inducing apoptosis.",NONE,NONE
2yxj_v,9,2.537,0.2819,-0.40307,6,1,1,1,0,0,Bcl-2-like protein 1,NONE,PPP1CC,Q07817,"Potent inhibitor of cell death. Inhibits activation of caspases. Appears to regulate cell death by blocking the voltage-dependent anion channel (VDAC) by binding to it and preventing the release of the caspase activator, CYC1, from the mitochondrial membrane. Also acts as a regulator of G2 checkpoint and progression to cytokinesis during mitosis.",NONE,NONE
1ls6_v,12,3.254,0.2712,0.45846,0,9,1,0,2,0,Sulfotransferase 1A1,TRANSFERASE,RAN ARA24 OK/SW-cl.81,ST1A1_HUMAN,"Catalyzes the sulfate conjugation of catecholamines, phenolic drugs and neurotransmitters. Is also responsible for the sulfation and activation of minoxidil. Mediates the metabolic activation of carcinogenic N-hydroxyarylamines to DNA binding products and",NONE,NONE
1skx_v,10,2.711,0.2711,-0.59447,9,1,0,0,0,0,Nuclear receptor subfamily 1 group I member 2,TRANSCRIPTION,INSR,NR1I2_HUMAN,Orphan receptor; its natural ligand is probably pregnane. Binds to a response element in the CYP3A4 and ABCB1/MDR1 genes promoter. Activates its expression in response to a wide variety of endobiotics and xenobiotics.,NONE,NONE
1hrk_v,8,2.163,0.2704,-1.38695,5,1,2,0,0,0,"Ferrochelatase, mitochondrial",NONE,TEK TIE2 VMCM VMCM1,P22830,Coenzyme transport and metabolism,NONE,NONE
1b55_v,12,3.209,0.2674,0.376711,0,9,0,0,3,0,Tyrosine-protein kinase BTK,TRANSFERASE,EEA1 ZFYVE2,BTK_HUMAN,Plays a crucial role in B-cell ontogeny. Transiently phosphorylates GTF2I on tyrosine residues in response to B-cell receptor cross-linking. Required for the formation of functional ARID3A DNA-binding complexes.,"Defects in BTK are the cause of X-linked agammaglobulinemia type 1 (XLA) [MIM:300300]. XLA is a humoral immunodeficiency disease which results in developmental defects in the maturation pathway of B-cells. Affected boys have normal levels of pre-B-cells in their bone marrow but virtually no circulating mature B-lymphocytes. This results in a lack of immunoglobulins of all classes and leads to recurrent bacterial infections like otitis, conjunctivitis, dermatitis, sinusitis in the first few years of life, or even some patients present overwhelming sepsis or meningitis, resulting in death in a few hours. Treatment in most cases is by infusion of intravenous immunoglobulin.;Defects in BTK may be the cause of X-linked hypogammaglobulinemia and isolated growth hormone deficiency (XLA- IGHD) [MIM:307200]; also known as agammaglobulinemia and isolated growth hormone deficiency or Fleisher syndrome or isolated growth hormone deficiency type 3 (IGHD3). In rare cases XLA is inherited together with isolated growth hormone deficiency (IGHD).",Autoimmune disease;Lymphoma
1nde_v,9,2.407,0.2674,-0.97614,5,2,1,1,0,0,Estrogen receptor beta,TRANSCRIPTION,RND3 ARHE RHO8 RHOE,ESR2_HUMAN,"Nuclear hormone receptor. Binds estrogens with an affinity similar to that of ESR1, and activates expression of reporter genes containing estrogen response elements (ERE) in an estrogen-dependent manner. Isoform beta-cx lacks ligand binding ability and ha",NONE,NONE
1jkl_v,11,2.929,0.2663,-0.13047,0,7,2,0,2,0,Death-associated protein kinase 1,TRANSFERASE,VDR NR1I1,DAPK1_HUMAN,Calcium/calmodulin-dependent serine/threonine kinase which acts as a positive regulator of apoptosis.,NONE,NONE
1gmn_v,9,2.387,0.2652,-0.76352,0,2,0,0,7,0,Hepatocyte growth factor,NONE,HSD11B1 HSD11 HSD11L SDR26C1,P14210,"Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types. Activating ligand for the receptor tyrosine kinase MET by binding to it and promoting its dimerization.",NONE,NONE
1sx6_v,8,2.109,0.2636,-0.89555,3,2,3,0,0,0,Glycolipid transfer protein,NONE,RAP2A,Q9NZD2,Involved in glycolipid binding,NONE,NONE
1c1y_v,9,2.338,0.2598,-1.09464,0,4,4,0,1,0,RAF proto-oncogene serine/threonine-protein kinase,SIGNALING PROTEIN,CRABP2,RAF1_HUMAN,Involved in the transduction of mitogenic signals from the cell membrane to the nucleus. Part of the Ras-dependent signaling pathway from receptors to the nucleus. Protects cells from apoptosis mediated by STK3.,"Defects in RAF1 are the cause of Noonan syndrome type 5 (NS5) [MIM:611553]. Noonan syndrome (NS) is a disorder characterized by dysmorphic facial features, short stature, hypertelorism, cardiac anomalies, deafness, motor delay, and a bleeding diathesis. It is a genetically heterogeneous and relatively common syndrome, with an estimated incidence of 1 in 1000-2500 live births.;Defects in RAF1 are the cause of LEOPARD syndrome type 2 (LEOPARD syndrome-2) [MIM:611554]. LEOPARD syndrome is an autosomal dominant disorder allelic with Noonan syndrome. The acronym LEOPARD stands for lentigines, electrocardiographic conduction abnormalities, ocular hypertelorism, pulmonic stenosis, abnormalities of genitalia, retardation of growth, and deafness.",Cancer
1eem_v,8,2.075,0.2593,-1.67337,0,4,2,1,1,0,Glutathione S-transferase omega-1,TRANSFERASE,IVD,GSTO1_HUMAN,Exhibits glutathione-dependent thiol transferase and dehydroascorbate reductase activities.,NONE,NONE
1jk7_v,9,2.333,0.2592,-1.36255,6,1,1,0,1,0,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,NONE,RAB11A RAB11,P36873,Signal transduction mechanisms,NONE,NONE
1qbk_v,11,2.835,0.2578,0.128163,0,5,3,0,3,0,GTP-binding nuclear protein Ran,NUCLEAR TRANSPORT PROTEIN COMPLEX,NDST1 HSST HSST1,RAN_HUMAN,GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle (By similarity).;Enhances AR-mediated transactivation. Transactivation decreases as the poly-Gln length within AR increases.,NONE,NONE
